username,follower,following,media,average_like,average_comment,average_reach
thanks_dudu,1365,415,200,36.1,11.58,93
dog_keen_on_food,63,108,28,9.62,0.27,26
all_days_sky,40,24,10,10.25,0.0,28
feat.if.1216,9,0,0,0.0,0.0,0
featuring.official,789,8,10,15.88,0.14,530
chetbaker_,751,688,2115,53.09,0.0,289
juliannebae,238,129,8,36.67,2.0,105
diana__at.r,256,38,174,25.75,0.18,144
ji.cheong.myeong,48,12,18,7.62,1.0,9
syutashoota,1730,839,45,251.22,39.55,3235
is_home_scales,214,117,2,34.0,6.0,124
yo_yonini,11234,826,965,171.25,12.89,1005
yun.___.0408,429,202,3,126.5,8.5,612
b0_rii,1254,854,367,126.11,34.4,267
rubycola_kr,1559,302,99,32.9,0.0,152
elin__yung,97,92,7,36.33,3.33,104
_jijicho,521,2115,820,27.75,0.0,216
guna_0201,278,62,26,108.71,6.0,508
xio_i_0311,161,162,21,21.75,1.4,265
my_y0uth_day_,284,101,12,75.0,1.0,299
yeon_woo_0119,309,254,5,90.0,2.0,354
hyong._.jun,193,250,3,75.5,5.0,292
jinwoo_park11,446,276,68,60.86,5.44,437
hyeokyou_,363,185,4,81.67,8.5,459
jungwoopaint12,2355,787,25,313.82,6.4,889
senzainverno,936,263,7,245.2,30.0,1295
bluemaze0,618,141,5,226.0,3.25,441
dw731x,331,259,10,108.0,23.0,322
hez_1_10,156,91,90,48.11,2.62,99
wpfhzhffkdada,1202,905,31,253.11,36.3,828
jy_odydy,809,113,0,0.0,0.0,0
xx_knzcnmm,390,221,13,217.5,10.11,359
shun_17_n,330,239,18,104.56,4.0,199
hashtag_min,321,247,49,63.44,4.67,400
yangianfvl,436,331,24,82.8,3.1,456
jhycompany,2050,1177,133,147.91,2.43,529
su_nxu,180,97,3,106.0,8.5,391
imvely_official,101768,7,3396,406.75,14.82,24811
rang4.5,34209,249,204,880.44,56.11,19494
mino.00_,45,178,11,27.62,0.0,86
nijey.__.05,114,70,7,33.83,5.83,166
y0_0n.x7,239,151,4,159.5,17.5,699
seyo__oung,191,219,11,79.0,6.88,399
p_sh.19,1003,237,44,203.56,15.2,1222
_ssuns_,291,254,3,69.67,3.0,290
wonsehoon_,664,505,0,0.0,0.0,0
subinkoh,10156,403,619,129.5,6.67,732
uz1_n,300,185,3,40.0,1.5,169
haaavl,17816,624,565,309.8,18.7,3129
yooahdad,5496,1109,300,153.44,6.58,1705
_04.07ms,186,76,10,60.8,3.12,415
choi_river.07,256,204,45,89.88,0.22,159
s_vin1000_,945,221,14,175.43,4.57,487
travel_mark2,5015,885,403,696.22,50.9,4409
sooni.yoni,360,824,861,53.18,4.5,292
2n_j1u_,238,167,7,121.2,2.2,282
imnotugly_boy,610,404,4,110.67,5.33,1873
_fxu_dd,106,89,0,0.0,0.0,0
icm._.dmer3i6,245,297,13,94.0,19.5,230
